HLUTVERK,GLJ_ID,DNR,LAGNINGARAR,EIGANDI,dagsetning,X,Y,TENGINR,GREIN
Götuljós,75761,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,359926.9093,404872.2703,80382,2
Götuljós,75757,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,359973.5578,404859.4296,80382,2
Götuljós,84347,23,2022,Reykjavíkurborg - eignasjóður,2022/11/30,361727.5,405026.3,235605,
Götuljós,84348,23,2022,Reykjavíkurborg - eignasjóður,2022/11/30,361726.2,405054.3,235606,
Götuljós,84349,23,2022,Reykjavíkurborg - eignasjóður,2022/11/30,361724.5,405082.2,235607,
Götuljós,84351,23,2022,Reykjavíkurborg - eignasjóður,2022/11/30,361720.7,405136.5,235609,
Götuljós,85808,23,2022,Reykjavíkurborg - eignasjóður,2022/11/30,361712.2,405161.7,235610,
Götuljós,85814,23,2022,Reykjavíkurborg - eignasjóður,2022/11/30,361696,405184.5,235611,
Götuljós,83380,1195,2022,Reykjavíkurborg,2022/05/02,366939.5,406152,220208,
Götuljós,83392,1195,2022,Reykjavíkurborg,2022/05/02,366953.7,406147,220209,
Götuljós,77759,175,2014,Reykjavíkurborg - eignasjóður,2014/11/11,355802.676,407871.876,30835,3
Götuljós,77763,175,2014,Reykjavíkurborg - eignasjóður,2014/11/11,355832.248,407855.495,30835,3
Götuljós,77764,175,2014,Reykjavíkurborg - eignasjóður,2014/11/11,355863.197,407838.3825,30835,3
Götuljós,77758,175,2014,Reykjavíkurborg - eignasjóður,2014/11/11,355892.926,407822.94,30835,3
Götuljós,77760,175,2014,Reykjavíkurborg - eignasjóður,2014/11/11,355925.8881,407805.4309,30835,3
Götuljós,77761,175,2014,Reykjavíkurborg - eignasjóður,2014/11/11,355956.217,407790.7246,30835,3
Götuljós,84822,437,2015,Reykjavíkurborg,2015/11/27,363682.841,404468.667,32218,2
Götuljós,17845,498,1995,Menntasvið Reykjavíkur,2002/11/15,360272.182,404831.823,80382,2
Götuljós,70618,498,2008,Reykjavíkurborg - eignasjóður,2008/10/31,360537.924,404784.279,80382,2
Götuljós,27726,498,1995,Reykjavíkurborg - eignasjóður,1996/02/19,360006.1587,404850.2756,80382,2
Götuljós,17827,498,1977,Reykjavíkurborg - eignasjóður,1994/07/13,360454.422,404868.9,80382,2
Götuljós,75758,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360003.2291,404870.1667,80382,2
Götuljós,75767,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,360012.5486,404900.8075,80382,2
Götuljós,75759,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,359995.6798,404830.7535,80382,2
Götuljós,75768,498,2012,Reykjavíkurborg - eignasjóður,2012/06/11,359979.8393,404800.1468,80382,2
Götuljós,84344,23,2022,Reykjavíkurborg - eignasjóður,2022/11/30,361702.1,405200.1,235602,
Götuljós,84345,23,2022,Reykjavíkurborg - eignasjóður,2022/11/30,361715,405177.3,235603,
Götuljós,84346,23,2022,Reykjavíkurborg - eignasjóður,2022/11/30,361726.1,404998.2,235604,
Götuljós,83381,1195,2022,Reykjavíkurborg,2022/05/02,366963.5,406125.1,220211,
Götuljós,83382,1195,2022,Reykjavíkurborg,2022/05/02,366949,406128.9,220212,
Götuljós,83383,1195,2022,Reykjavíkurborg,2022/05/02,366934.5,406132.7,220213,
Götuljós,78818,263,2016,Reykjavíkurborg - eignasjóður,2016/07/28,359901.4976,405918.9258,16769,4
Götuljós,83397,1195,2022,Reykjavíkurborg,2022/05/02,366968.2,406143.2,220210,
Götuljós,60385,1357,2002,Reykjavíkurborg - eignasjóður,2003/01/16,365354.1,406457.164,1472,
Götuljós,65972,634,2005,Reykjavíkurborg - eignasjóður,2005/12/30,365030.9,407151.868,1483,
Götuljós,37365,1420,2001,Gatnamálastofa-rekstur/viðhald,2002/10/08,362673.427,406460.512,16897,
Götuljós,18087,500,1980,Reykjavíkurborg - eignasjóður,1994/01/26,360997.079,402774.912,16718,1
Götuljós,17953,500,2007,Reykjavíkurborg - eignasjóður,1994/01/26,361048.416,402819.698,16718,1
Götuljós,17945,500,2007,Reykjavíkurborg - eignasjóður,1994/01/26,360965.386,402872.758,16718,1
Götuljós,50278,1420,2003,Gatnamálastofa-rekstur/viðhald,2003/03/26,362744.808,406410.542,16899,
Götuljós,18102,500,1980,Reykjavíkurborg - eignasjóður,1994/01/26,360968.626,402678.159,16718,2
Götuljós,82546,1416,2021,Reykjavíkurborg - eignasjóður,2021/10/29,363333.2,408669,33213,2
Götuljós,82538,1416,2021,Reykjavíkurborg - eignasjóður,2021/10/29,363467,408674.7,33213,1
Götuljós,8305,263,1978,Reykjavíkurborg - eignasjóður,1994/07/11,359897.439,406024.898,16769,3
Götuljós,8306,263,1959,Reykjavíkurborg - eignasjóður,1994/07/11,359917.493,406016.989,80421,1
Götuljós,16202,471,2019,Reykjavíkurborg - eignasjóður,2002/11/15,359804.635,405300.809,30849,2
Götuljós,16200,471,2019,Reykjavíkurborg - eignasjóður,2002/11/15,359778.137,405291.511,30849,2
Götuljós,85589,709,2022,Húseigandi,2023/03/09,363389.6,405866.5,247393,
Götuljós,85588,709,2022,Húseigandi,2023/03/09,363422.9,405855.3,247394,
Götuljós,85590,709,2022,Húseigandi,2023/03/09,363456.3,405844.8,247395,
Götuljós,17914,500,1989,Reykjavíkurborg - eignasjóður,1995/11/20,360988.361,403073.045,16718,2
Götuljós,50294,1420,2003,Reykjavíkurborg - eignasjóður,2003/03/26,362721.456,406342.48,18226,
Götuljós,78796,263,2016,Reykjavíkurborg - eignasjóður,2016/07/28,359939.231,406025.8886,16769,3
Götuljós,78826,263,2016,Reykjavíkurborg - eignasjóður,2016/07/28,359916.1661,405971.1429,16769,4
Götuljós,78819,263,2016,Reykjavíkurborg - eignasjóður,2016/07/28,359925.4365,405996.5551,16769,4
Götuljós,78806,263,2016,Reykjavíkurborg - eignasjóður,2016/07/28,359945.4593,406045.0028,16769,3
Götuljós,78830,263,2016,Reykjavíkurborg - eignasjóður,2016/07/28,359953.2078,406066.4741,16769,3
Strætóskýli,78966,263,2016,Reykjavíkurborg - eignasjóður,2016/11/08,359918.4836,405984.924,16769,4
Götuljós,84842,1501,2022,Reykjavíkurborg - eignasjóður,2023/01/11,369175.3,413419.4,18916,2
Götuljós,1115,175,1969,Reykjavíkurborg - eignasjóður,2002/10/29,355887.787,407510.54,30835,3
Götuljós,50295,1420,2003,Reykjavíkurborg - eignasjóður,2003/03/26,362730.688,406317.637,16021,
Götuljós,18151,500,1990,Reykjavíkurborg - eignasjóður,1994/01/26,361108.1934,402907.3418,16718,1
Götuljós,78505,500,2015,Reykjavíkurborg - eignasjóður,2015/11/16,361131.288,402939.988,16718,1
Götuljós,78501,500,2015,Reykjavíkurborg - eignasjóður,2015/11/16,361103.583,402954.491,16718,1
Götuljós,78502,500,2015,Reykjavíkurborg - eignasjóður,2015/11/16,361075.933,402968.997,16718,1
Götuljós,78504,500,2015,Reykjavíkurborg - eignasjóður,2015/11/16,361054.393,402980.274,16718,1
Götuljós,78606,500,2015,Reykjavíkurborg - eignasjóður,2016/01/12,361011.283,402951.787,16718,1
Götuljós,78607,500,2015,Reykjavíkurborg - eignasjóður,2016/01/12,361042.17,402961.074,16718,1
Götuljós,8310,263,2000,Reykjavíkurborg - eignasjóður,2001/01/23,359656.09,406063.186,16769,3
Götuljós,8326,263,2000,Reykjavíkurborg - eignasjóður,2001/01/23,359806.883,405943.894,16769,4
Götuljós,8307,263,2000,Reykjavíkurborg - eignasjóður,2001/01/23,359684.251,406121.535,16769,3
Götuljós,8316,263,2000,Reykjavíkurborg - eignasjóður,2001/01/23,359825.401,406040.478,16769,3
Götuljós,26699,263,1978,Reykjavíkurborg - eignasjóður,1994/07/11,359814.888,405881.943,16769,4
Götuljós,26697,263,1978,Reykjavíkurborg - eignasjóður,1994/07/11,359862.085,405911.108,16769,4
Götuljós,6426,175,1958,Reykjavíkurborg - eignasjóður,1994/12/23,355735.919,407603.145,30835,1
Götuljós,6407,175,1957,Reykjavíkurborg - eignasjóður,1994/12/23,355813.713,407570.442,30835,3
Götuljós,6367,175,1958,Reykjavíkurborg - eignasjóður,2002/10/29,355953.421,407773.073,30835,3
Götuljós,18137,500,1982,Menntasvið Reykjavíkur,1994/01/26,361097.908,402835.48,16718,1
Götuljós,61716,1420,2003,Gatnamálastofa-rekstur/viðhald,2003/09/29,362766.498,406257.619,18537,
Götuljós,18130,500,1982,Reykjavíkurborg - eignasjóður,1995/11/20,360864.706,403068.507,16718,2
Götuljós,38827,1420,2002,Gatnamálastofa-rekstur/viðhald,2002/12/17,362703.548,406273.802,22188,
Götuljós,18121,500,1982,Reykjavíkurborg - eignasjóður,1995/11/20,360675.923,403120.236,16718,2
Götuljós,37364,1420,2001,Reykjavíkurborg - eignasjóður,2002/10/08,362652.579,406414.28,22540,
Götuljós,14268,438,1967,Gatnamálastofa-rekstur/viðhald,1994/01/20,364283.867,404329.321,11937,
Götuljós,84317,438,2022,Reykjavíkurborg - eignasjóður,2022/11/25,364296.6,404321.9,234913,
Götuljós,32709,175,2006,Reykjavíkurborg - eignasjóður,1999/10/26,355874.142,407942.736,30835,3
Götuljós,31892,175,1998,Reykjavíkurborg - eignasjóður,1999/04/13,355834.422,407543.324,30835,3
Götuljós,32708,175,2006,Reykjavíkurborg - eignasjóður,1999/10/26,355849.21,407924.313,30835,3
Götuljós,31891,175,1998,Reykjavíkurborg - eignasjóður,1999/04/13,355806.061,407534.786,30835,3
Götuljós,1114,175,1969,Reykjavíkurborg - eignasjóður,2002/10/29,355878.001,407535.899,30835,3
Götuljós,27399,175,1994,Reykjavíkurborg - eignasjóður,1996/09/24,355670.767,407736.591,30835,1
Götuljós,62632,441,2003,Gatnamálastofa-rekstur/viðhald,2004/01/07,358819.863,407092.732,13053,
Götuljós,18395,502,1973,Landspítali,1994/07/11,359680.531,405774.106,43753,2
Götuljós,1113,175,1957,Reykjavíkurborg - eignasjóður,2002/10/29,355871.114,407560.611,30835,3
Götuljós,80814,1420,2019,Reykjavíkurborg - eignasjóður,2019/11/21,362646.112,406470.471,166113,
Götuljós,81159,1420,2020,Reykjavíkurborg - eignasjóður,2020/06/23,362659.472,406528.303,180538,
Götuljós,81154,1420,2020,Reykjavíkurborg - eignasjóður,2020/06/23,362666.236,406544.222,180539,
Götuljós,81156,1420,2020,Reykjavíkurborg - eignasjóður,2020/06/23,362673.28,406519.275,180541,
Götuljós,81157,1420,2020,Reykjavíkurborg - eignasjóður,2020/06/23,362674.811,406480.986,180542,
Götuljós,81155,1420,2020,Reykjavíkurborg - eignasjóður,2020/06/23,362676.205,406501.654,180543,
Götuljósahönk,0,1420,2001,Veitur,2002/01/15,362772.684,406405.006,8250,
Götuljós,17991,500,1993,Reykjavíkurborg - eignasjóður,1994/01/26,361002.884,402717.113,16718,2
Götuljós,22334,608,2006,Reykjavíkurborg - eignasjóður,1994/01/17,364281.683,403832.146,30863,3
Götuljós,22336,608,2006,Reykjavíkurborg - eignasjóður,1994/01/17,364309.245,403905.087,30863,3
Götuljós,22338,608,2006,Reykjavíkurborg - eignasjóður,1994/01/17,364327.627,403953.829,30863,3
Götuljós,22314,608,2006,Reykjavíkurborg - eignasjóður,1994/01/17,364334.086,403978.057,30863,3
Götuljós,13489,422,1996,Reykjavíkurborg - eignasjóður,1996/07/19,359976.337,408248.257,16744,2
Götuljós,17709,497,1977,Reykjavíkurborg - eignasjóður,1994/07/13,360524.647,404969.871,80375,1
Götuljós,17720,497,1993,Reykjavíkurborg - eignasjóður,1994/07/13,360692.469,405079.801,80375,1
Götuljós,17722,497,1993,Reykjavíkurborg - eignasjóður,1994/07/13,360655.844,405031.837,80375,1
Götuljós,17408,491,1978,Reykjavíkurborg - eignasjóður,1994/01/27,362168.51,402901.388,80230,2
Götuljós,17406,491,2003,Reykjavíkurborg - eignasjóður,1994/01/27,362168.383,402938.75,80230,1
Götuljós,7234,214,2022,Reykjavíkurborg - eignasjóður,1992/12/31,362493.452,403305.085,80508,2
Götuljós,85696,500,2023,Reykjavíkurborg - eignasjóður,2023/04/17,361234.6,402827.1,250593,
Götuljós,2393,154,1991,Gatnamálastofa-rekstur/viðhald,1990/12/31,363003.473,405741.497,14068,
Götuljós,83384,1195,2022,Reykjavíkurborg,2022/05/02,366920.7,406131.5,220214,
Götuljós,83394,1195,2022,Reykjavíkurborg,2022/05/02,366920.9,406140.1,220215,
Götuljós,5781,154,1970,Reykjavíkurborg - eignasjóður,1990/12/31,362760.2232,405776.9324,80032,2
Götuljós,5783,154,1970,Reykjavíkurborg - eignasjóður,1990/12/31,362824.9718,405772.8591,80032,2
Götuljós,29069,175,1996,Reykjavíkurborg - eignasjóður,1996/10/04,355767.958,407669.463,30835,1
Götuljós,33081,30,2000,Reykjavíkurborg - eignasjóður,2000/05/25,357987.981,407893.248,30833,1
Götuljós,32009,175,1998,Reykjavíkurborg - eignasjóður,1999/04/30,355735.659,407937.822,30835,3
Götuljós,33073,30,2000,Reykjavíkurborg - eignasjóður,2000/05/25,358013.554,407989.443,30833,1
Götuljós,32007,175,1998,Reykjavíkurborg - eignasjóður,1999/04/30,355687.035,407970.048,30835,3
Götuljós,29070,175,1996,Reykjavíkurborg - eignasjóður,1996/10/04,355758.824,407697.718,30835,1
Götuljós,32707,175,2006,Reykjavíkurborg - eignasjóður,1999/10/26,355824.277,407905.892,30835,3
Götuljós,32964,175,1999,Reykjavíkurborg - eignasjóður,2000/01/28,355793.898,407855.138,30835,3
Götuljós,77854,30,2014,Reykjavíkurborg - eignasjóður,2014/11/20,357987.2104,407885.6966,30833,2
Götuljós,17992,500,1993,Reykjavíkurborg - eignasjóður,1994/01/26,361031.526,402693.659,16718,2
Götuljós,17993,500,1993,Reykjavíkurborg - eignasjóður,1994/01/26,361064.573,402676.357,16718,2
Götuljós,17994,500,1993,Reykjavíkurborg - eignasjóður,1994/01/26,361097.38,402659.181,16718,2
Götuljós,17982,500,1993,Reykjavíkurborg - eignasjóður,1994/01/26,360740.729,402854.687,16718,2
Götuljós,17983,500,1993,Reykjavíkurborg - eignasjóður,1994/01/26,360771.794,402838.42,16718,2
Götuljós,17984,500,1993,Reykjavíkurborg - eignasjóður,1994/01/26,360802.329,402822.432,16718,2
Götuljós,73528,500,2009,Reykjavíkurborg - eignasjóður,2009/12/01,360931.61,402769.182,16718,1
Götuljós,13460,422,2005,Reykjavíkurborg - eignasjóður,1996/02/09,359844.569,408171.512,16744,1
Götuljós,17726,497,1993,Reykjavíkurborg - eignasjóður,1994/07/13,360586.629,404934.675,80375,1
Götuljós,17729,497,1993,Reykjavíkurborg - eignasjóður,1994/07/13,360556.727,404847.688,80375,1
Götuljós,22335,608,2006,Reykjavíkurborg - eignasjóður,1994/01/17,364289.306,403854.166,30863,3
Götuljós,14344,608,1985,Reykjavíkurborg - eignasjóður,2002/11/18,364341.47,404081.441,30863,1
Götuljós,22317,608,2006,Reykjavíkurborg - eignasjóður,1994/01/17,364223.984,403685.372,30863,3
Götuljós,83370,1350,2022,Reykjavíkurborg - eignasjóður,2022/05/04,357030.9,408493.4,220849,
Götuljós,83371,1350,2022,Reykjavíkurborg - eignasjóður,2022/05/04,357047.5,408484.2,220860,
Götuljós,83335,1350,2022,Reykjavíkurborg - eignasjóður,2022/05/04,357080.3,408463.6,35084,
Götuljós,83324,1350,2022,Reykjavíkurborg - eignasjóður,2022/05/04,357063.7,408473.8,35084,
Götuljós,5784,154,1970,Reykjavíkurborg - eignasjóður,1990/12/31,362858.156,405772.6697,80032,2
Götuljós,5785,154,2022,Reykjavíkurborg - eignasjóður,1990/12/31,362893.3111,405772.4707,80032,2
Götuljós,5786,154,1970,Reykjavíkurborg - eignasjóður,1990/12/31,362928.1172,405772.2737,80032,2
Götuljós,83375,1195,2022,Reykjavíkurborg,2022/05/02,366831,406174,220231,
Götuljós,83378,1195,2022,Reykjavíkurborg,2022/05/02,366799.3,406164.8,220233,
Götuljós,83376,1195,2022,Reykjavíkurborg,2022/05/02,366835.7,406153.5,220234,
Götuljós,85858,270,2022,Reykjavíkurborg - eignasjóður,2023/01/11,358132.4,406380.1,240046,
Götuljós,77838,30,2014,Reykjavíkurborg - eignasjóður,2014/11/20,358002.8818,407877.4656,30833,2
Götuljós,77836,30,2014,Reykjavíkurborg - eignasjóður,2014/11/20,358015.2823,407871.5349,30833,2
Götuljós,77847,30,2014,Reykjavíkurborg - eignasjóður,2014/11/20,358088.4069,407825.242,30833,2
Götuljós,78112,30,2015,Reykjavíkurborg - eignasjóður,2015/06/09,358031.6244,407864.3481,30833,2
Götuljós,78113,30,2015,Reykjavíkurborg - eignasjóður,2015/06/09,358049.0123,407855.5356,30833,2
Götuljós,78595,175,2015,Reykjavíkurborg - eignasjóður,2016/01/11,355880.657,407544.337,30835,3
Götuljós,78596,175,2015,Reykjavíkurborg - eignasjóður,2016/01/11,355890.681,407543.053,30835,3
