Lóð,Heimtaugarskápur,Heimtaugarskápur XID,Auðkenni ljósastaurs,Ljósastaur XID,Gata,Staðsetning,Tegund viðfangs,Undirtegund,X (lengdargráða),Y (Breidd),GPS-hæð,X,Y,Dags. uppsett,Eigandi 2,Eigandi Umsjón-starfsmaður,Kennitala eiganda,Framleiðandi,Birgir,Efni staurs,Litur staurs,Hæð staurs [m],Hefur topp/arm,Tegund topps/arms,Framleiðandi topps/arms,Söluaðili topps/arms,Tengill,Ljósleiðarapípa,Dags. burðarþolsprófunar,Framkvæmdaraðili burðarþolsprófunar,Tegund undirstöðu,Staða,Ástandseinkunn
,,,,29562,LÓUHÓLAR,,,,,,,362740.4,403646.2,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29563,LÓUHÓLAR,,,,,,,362742.6,403684.2,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29564,LÓUHÓLAR,,,,,,,362741.5,403665.2,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29565,LÓUHÓLAR,,,,,,,362706.9,403686.3,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29566,LÓUHÓLAR,,,,,,,362705.6,403665.3,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29567,LÓUHÓLAR,,,,,,,362689.8,403660.2,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29568,LÓUHÓLAR,,,,,,,362682.3,403642.7,,,,,,,J,,8,JÁ,,,,,,,,,,
,,,,29569,LÓUHÓLAR,,,,,,,362698.8,403646.2,,,,,,,J,,8,,,,,,,,,,,
,,,,29570,HRAUNBÆR,,,,,,,364202.2,404445,,,,,,,J,,8,,,,,,,,,,,
,,,,29571,HRAUNBÆR,,,,,,,364195.6,404427.5,,,,,,,J,,8,,,,,,,,,,,
,,,,29572,HRAUNBÆR,,,,,,,364188.7,404409.7,,,,,,,J,,8,,,,,,,,,,,
,,,,29573,BÚAGRUND,,,,,,,362262.9,418343.4,,,,,,,J,,5,,,,,,,,,,,
,,,,29574,BÚAGRUND,,,,,,,362299.2,418334.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29575,BÚAGRUND,,,,,,,362335.7,418325,,,,,,,J,,5,,,,,,,,,,,
,,,,29576,ESJUGRUND,,,,,,,362760.2,418424.1,,,,,,,J,,5,,,,,,,,,,,
,,,,29577,ESJUGRUND,,,,,,,362742.5,418454.9,,,,,,,J,,5,,,,,,,,,,,
,,,,29578,ESJUGRUND,,,,,,,362719.9,418473.2,,,,,,,J,,5,,,,,,,,,,,
,,,,29579,VÆTTABORGIR,,,,,,,364453.2,408569.9,,,,,,,J,,8,,,,,,,,,,,
,,,,29580,VÆTTABORGIR,,,,,,,364468.5,408641.4,,,,,,,J,,8,,,,,,,,,,,
,,,,29581,VÆTTABORGIR,,,,,,,364548.7,408763.2,,,,,,,J,,8,,,,,,,,,,,
,,,,29582,VÆTTABORGIR,,,,,,,364582.7,408827.1,,,,,,,J,,8,,,,,,,,,,,
,,,,29583,VÆTTABORGIR,,,,,,,364568.1,408607.4,,,,,,,J,,5,,,,,,,,,,,
,,,,29584,VÆTTABORGIR,,,,,,,364577.6,408645.4,,,,,,,J,,5,,,,,,,,,,,
,,,,29585,VÆTTABORGIR,,,,,,,364596.8,408683.5,,,,,,,J,,5,,,,,,,,,,,
,,,,29586,VÆTTABORGIR,,,,,,,364403.3,408639,,,,,,,J,,5,,,,,,,,,,,
,,,,29587,VÆTTABORGIR,,,,,,,364445.9,408596.2,,,,,,,J,,5,,,,,,,,,,,
,,,,29588,VÆTTABORGIR,,,,,,,364447.1,408689.8,,,,,,,J,,5,,,,,,,,,,,
,,,,29589,VÆTTABORGIR,,,,,,,364480.6,408775.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29590,VÆTTABORGIR,,,,,,,364560.6,408806.3,,,,,,,J,,5,,,,,,,,,,,
,,,,29591,VÆTTABORGIR,,,,,,,364624,408793,,,,,,,J,,5,,,,,,,,,,,
,,,,29592,VÆTTABORGIR,,,,,,,364589.7,408736.6,,,,,,,J,,5,,,,,,,,,,,
,,,,29595,MOSAVEGUR,,,,,,,364646.9,408275.7,,,,,,,J,,8,,,,,,,,,,,
