WKT,FDNR,Nafn,Lon,Lat,Allir
"POINT (-21.91141153 64.13802253)",261,Miklatún,-21.91141153,64.13802253,x
"POINT (-21.87876839 64.1282155)",263,Heiðargeri 80,-21.87876839,64.1282155,x
"POINT (-21.86942896 64.14517955)",267,Vesturbrún 18,-21.86942896,64.14517955,x
"POINT (-21.90659712 64.14164495)",268,Brautarholt 14,-21.90659712,64.14164495,x
"POINT (-21.90938363 64.13011276)",270,Hörgshlíð 24,-21.90938363,64.13011276,x
"POINT (-21.90356084 64.13519752)",274,Bólstaðarhlíð 26,-21.90356084,64.13519752,x
"POINT (-21.962792 64.139328)",275,Ægisíða 70,-21.962792,64.139328,x
"POINT (-21.879581 64.12652118)",276,Skálagerði 6,-21.879581,64.12652118,x
"POINT (-21.874348 64.12628442)",277,Breiðagerði 15,-21.874348,64.12628442,x
"POINT (-21.84650306 64.11778682)",280,Blesugróf 38,-21.84650306,64.11778682,x
"POINT (-21.8614802 64.12397896)",284,Langagerði 72,-21.8614802,64.12397896,x
"POINT (-21.86229691 64.14381014)",285,Kambsvegur 23,-21.86229691,64.14381014,x
"POINT (-21.90703268 64.13177725)",298,Bogahlíð 24,-21.90703268,64.13177725,x
"POINT (-21.87675274 64.24161179)",300,Brautarholt,-21.87675274,64.24161179,x
"POINT (-21.82274977 64.12554934)",303,Bíldshöfi 9A,-21.82274977,64.12554934,x
"POINT (-21.87112621 64.14941161)",305,Kleppsvegur 52,-21.87112621,64.14941161,x
"POINT (-21.88209649 64.14941752)",308,Rauðalækur 11,-21.88209649,64.14941752,x
"POINT (-21.85281548 64.12292524)",309,Garðsendi 6,-21.85281548,64.12292524,x
"POINT (-21.873716 64.136147)",310,Ármúli 27,-21.873716,64.136147,x
"POINT (-21.90155043 64.12476574)",315,Birkihlíð 6,-21.90155043,64.12476574,x
"POINT (-21.78988673 64.21775882)",321,Kirkjuland,-21.78988673,64.21775882,x
"POINT (-21.84738054 64.12979566)",322,Dugguvogur 11,-21.84738054,64.12979566,x
"POINT (-21.77974624 64.11143768)",325,Rauðavatn,-21.77974624,64.11143768,x
"POINT (-21.86131647 64.13599753)",327,Goðheimar 54,-21.86131647,64.13599753,x
"POINT (-21.87413808 64.13405624)",331,Ármúli 31,-21.87413808,64.13405624,x
"POINT (-21.86511974 64.13266202)",332,Gnoðarvogur 20,-21.86511974,64.13266202,x
