hs,heimilisfang,titill,verkefni,comment,hs_skipti,lon,lat,lukor
246,Skipholt_50,HS_246 - Skipholt_50,,,2023,-21.901462000,64.140205000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=246
250,Korngarðar 10,HS_250 - Korngarðar 10,,,Faxaflóahafnir,-21.859654120,64.151240350,https://lukor.or.is/lukor/gotuljosakort.html?dnr=250
251,Dalsmynni,HS_251 - Dalsmynni,,,2024,-21.840692680,64.272820050,https://lukor.or.is/lukor/gotuljosakort.html?dnr=251
258,Saurbær,HS_258 - Saurbær,,,2024,-21.837030010,64.280480180,https://lukor.or.is/lukor/gotuljosakort.html?dnr=258
260,Sigluvogur 13,HS_260 - Sigluvogur 13,,,2023,-21.854171870,64.134804740,https://lukor.or.is/lukor/gotuljosakort.html?dnr=260
261,Miklatún,HS_261 - Miklatún,,,,-21.911411530,64.138022530,https://lukor.or.is/lukor/gotuljosakort.html?dnr=261
263,Heiðargeri 80,HS_263 - Heiðargeri 80,,,2022,-21.878768390,64.128215500,https://lukor.or.is/lukor/gotuljosakort.html?dnr=263
267,Vesturbrún 18,HS_267 - Vesturbrún 18,,,2023,-21.869428960,64.145179550,https://lukor.or.is/lukor/gotuljosakort.html?dnr=267
268,Brautarholt 14,HS_268 - Brautarholt 14,,,,-21.906597120,64.141644950,https://lukor.or.is/lukor/gotuljosakort.html?dnr=268
270,Hörgshlíð 24,HS_270 - Hörgshlíð 24,,,2023,-21.909383630,64.130112760,https://lukor.or.is/lukor/gotuljosakort.html?dnr=270
274,Bólstaðarhlíð 26,HS_274 - Bólstaðarhlíð 26,,,2023,-21.903560840,64.135197520,https://lukor.or.is/lukor/gotuljosakort.html?dnr=274
275,Ægisíða 70,HS_275 - Ægisíða 70,,,,-21.962792000,64.139328000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=275
276,Skálagerði 6,HS_276 - Skálagerði 6,,,2023,-21.879581000,64.126521180,https://lukor.or.is/lukor/gotuljosakort.html?dnr=276
277,Breiðagerði 15,HS_277 - Breiðagerði 15,,,2022,-21.874348000,64.126284420,https://lukor.or.is/lukor/gotuljosakort.html?dnr=277
280,Blesugróf 38,HS_280 - Blesugróf 38,,,,-21.846503060,64.117786820,https://lukor.or.is/lukor/gotuljosakort.html?dnr=280
284,Langagerði 72,HS_284 - Langagerði 72,,,2022,-21.861480200,64.123978960,https://lukor.or.is/lukor/gotuljosakort.html?dnr=284
285,Kambsvegur 23,HS_285 - Kambsvegur 23,,,2023,-21.862296910,64.143810140,https://lukor.or.is/lukor/gotuljosakort.html?dnr=285
298,Bogahlíð 24,HS_298 - Bogahlíð 24,,,2023,-21.907032680,64.131777250,https://lukor.or.is/lukor/gotuljosakort.html?dnr=298
300,Brautarholt,HS_300 - Brautarholt,,,max 15 lampar,-21.876752740,64.241611790,https://lukor.or.is/lukor/gotuljosakort.html?dnr=300
303,Bíldshöfi 9A,HS_303 - Bíldshöfi 9A,,,2023,-21.822749770,64.125549340,https://lukor.or.is/lukor/gotuljosakort.html?dnr=303
