hs,heimilisfang,titill,verkefni,comment,hs_skipti,lon,lat,lukor
1352,Silfratjörn 5a,HS_1352 - Silfratjörn 5a,,,,-21.732141580,64.136775150,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1352
1353,Rökkvatjörn 1A,HS_1353 - Rökkvatjörn 1A,,,,-21.735110260,64.136702530,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1353
1357,Krókáls 13a,HS_1357 - Krókáls 13a,,,,-21.776295730,64.124929640,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1357
1360,Hljómskálagarður,HS_1360 - Hljómskálagarður,,,2023,-21.939053000,64.140929000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1360
1364,Hlíðarendi 14a,HS_1364 - Hlíðarendi 14a,,,,-21.930430000,64.134813000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1364
1368,Dugguvogur 2 - bráðab.,HS_1368 - Dugguvogur 2 - bráðab.,,,,-21.848835840,64.132529590,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1368
1370,Móaberg,HS_1370 - Móaberg,,,max 15 lampar,-21.763888940,64.204422390,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1370
1391,Álfsnes,HS_1391 - Álfsnes,,,max 15 lampar,-21.757389040,64.189113980,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1391
1400,Hallgerðargata,HS_1400 - Hallgerðargata,,,,-21.889388350,64.148338790,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1400
1416,Jöfursbás 4a,HS_1416 - Jöfursbás 4a,,,2022,-21.807704190,64.153624190,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1416
1420,Tangabryggja 13E,HS_1420 - Tangabryggja 13E,,,,-21.822089800,64.133170380,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1420
1429,Vatnsmýrarvegur,HS_1429 - Vatnsmýrarvegur,,,,-21.925652090,64.136462290,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1429
1438,Sætún,HS_1438 - Sætún,,,max 15 lampar,-21.775150610,64.212775010,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1438
1444,Melgerði,HS_1444 - Melgerði,,,max 15 lampar,-21.841720720,64.269462380,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1444
1445,Melavellir,HS_1445 - Melavellir,,,max 15 lampar,-21.855718620,64.267923000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1445
1446,Bakki,HS_1446 - Bakki,,,max 15 lampar,-21.863367910,64.258707280,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1446
1454,Álfabakki 4A,HS_1454 - Álfabakki 4A,,,,-21.857706000,64.105004000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1454
1478,Héðinsreitur. Mýrargötu,HS_1478 - Héðinsreitur. Mýrargötu,,,,-21.952067160,64.152410200,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1478
1501,Járnslétta 8a,HS_1501 - Járnslétta 8a,,,2022,-21.693911140,64.198291240,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1501
1526,Dugguvogur 42a,HS_1526 - Dugguvogur 42a,,,,-21.848354000,64.132401000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=1526
471_02,Giljaland 1,HS_471_02 - Giljaland 1,,,2022,-21.872520000,64.120112000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=471_02
497_02,Kelduland 1,HS_497_02 - Kelduland 1,,,2022,-21.872280000,64.120143500,https://lukor.or.is/lukor/gotuljosakort.html?dnr=497_02
535_02,Traðarland 14,HS_535_02 - Traðarland 14,,,2024,-21.855473000,64.118460000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=535_02
610_02,Víkurgrund 10,HS_610_02 - Víkurgrund 10,,,2022,-21.829763000,64.238999000,https://lukor.or.is/lukor/gotuljosakort.html?dnr=610_02
